<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KRME.XXBTZUSD;D;20220704;000000;19292.8000000;20325.0000000;19033.6000000;20207.5000000;3479
KRME.XXBTZUSD;D;20220705;000000;20210.8000000;20732.1000000;19300.0000000;20169.1000000;5162
KRME.XXBTZUSD;D;20220706;000000;20169.0000000;20583.0000000;19750.1000000;20542.7000000;3214
KRME.XXBTZUSD;D;20220707;000000;20541.0000000;21826.0000000;20236.5000000;21615.4000000;5511
KRME.XXBTZUSD;D;20220708;000000;21617.6000000;22498.0000000;21183.9000000;21582.6000000;5110
KRME.XXBTZUSD;D;20220709;000000;21580.9000000;21955.0000000;21316.7000000;21579.1000000;1662
KRME.XXBTZUSD;D;20220710;000000;21581.7000000;21590.6000000;20620.3000000;20830.3000000;2744
KRME.XXBTZUSD;D;20220711;000000;20830.3000000;20847.4000000;19870.5000000;19947.0000000;3526
KRME.XXBTZUSD;D;20220712;000000;19943.3000000;20036.3000000;19214.1000000;19307.9000000;3986
KRME.XXBTZUSD;D;20220713;000000;19305.8000000;20332.3000000;18900.0000000;20233.6000000;5490
KRME.XXBTZUSD;D;20220714;000000;20222.3000000;20894.5000000;19609.4000000;20573.7000000;4242
KRME.XXBTZUSD;D;20220715;000000;20575.3000000;21178.0000000;20375.3000000;20825.3000000;3351
KRME.XXBTZUSD;D;20220716;000000;20824.8000000;21566.4000000;20480.0000000;21204.4000000;3421
KRME.XXBTZUSD;D;20220717;000000;21190.3000000;21664.7000000;20748.7000000;20793.2000000;2455
KRME.XXBTZUSD;D;20220718;000000;20790.9000000;22766.2000000;20769.3000000;22450.1000000;7082
KRME.XXBTZUSD;D;20220719;000000;22450.0000000;23782.9000000;21600.0000000;23411.0000000;8067
KRME.XXBTZUSD;D;20220720;000000;23411.0000000;24264.6000000;22905.6000000;23242.4000000;6719
KRME.XXBTZUSD;D;20220721;000000;23220.8000000;23428.8000000;22351.1000000;23155.6000000;4328
KRME.XXBTZUSD;D;20220722;000000;23152.3000000;23744.0000000;22517.3000000;22688.0000000;3900
KRME.XXBTZUSD;D;20220723;000000;22688.0000000;22998.5000000;21950.3000000;22461.8000000;2665
KRME.XXBTZUSD;D;20220724;000000;22461.5000000;23000.0000000;22264.6000000;22584.2000000;2840
KRME.XXBTZUSD;D;20220725;000000;22586.1000000;22660.9000000;21252.5000000;21299.7000000;3794
KRME.XXBTZUSD;D;20220726;000000;21299.7000000;21325.0000000;20696.0000000;21264.4000000;4306
KRME.XXBTZUSD;D;20220727;000000;21264.4000000;23100.0000000;21048.1000000;22964.3000000;5695
